ID;Artist;Title;Rec. Comp.;Year;Type;Country;Cat. No. I;Cat. No. II;Barcode;Medium;Discs;Vinyl type;L.E.;Label lettering;Label background;Sleeve type;Sleeve graphics;Sleeve finish;Sleeve features;Sleeve lettering;Sleeve background;Price code;Inner bag;Insert;Sealed?;Remark
61;David Bowie;Golden years;RCA;1983;Commercial;Italy;PL 14792;-;-;LP;1;Black;-;Silver;Black;Single;PS;Glossy;-;Blue, red and white;Black;D: SB F: RC 250;White die cut;No;No;BIEM/SIAE (not just SIAE) in a box on the labels. Uses the German/European sleeve art
62;David Bowie;Golden years;RCA Victor;1983;Commercial;Germany;PL 14792;BOWLP4;-;LP;1;Black;-;Silver;Black;Single;PS;Glossy;-;Blue, red and white;Black;D: SB F: RC 250;White die cut;No;No;"GEMA and BIEM inside rectangle on the label. Has ""A MainMan production"" on the side 1 label"
63;David Bowie;Let's dance;EMI;1983;Commercial;Germany;1C 064-400 165;-;-;LP;1;Black;-;Multi;Grey;Single;PS;Satin;-;Multi;Multi;No;Lyrics bag;No;No;"Sleeve printed in Germany. ""Seite 1""/""Seite 2"" on the labels. GEMA (in box) above STEMRA on the labels"
64;David Bowie;Let's dance (long version) // Cat people (putting out fire);EMI;1983;Commercial;Germany;1C K 052-86 660;;;MA;1;Black;-;Multi;Grey;Single;AS;;-;Gold, pink and white;Black and gold;;;No;;Rim text both at the top and at the bottom of the labels
65;David Bowie;China girl / Shake it;EMI;1983;Commercial;Netherlands;1A K052Z-1866896;;;MA;1;Black;-;Multi;Grey;Single;PS;;;Multi;Black;;;No;;-
66;David Bowie;Extra Ausgabe;Decca;1983;Commercial;Germany;6.25549;-;-;LP;1;Black;-;Black;Blue, red and silver;Single;PS;Glossy;-;Multi;Multi;LB;;No;Yes;-
67;David Bowie;The man who sold the world;RCA International;1983;Commercial;United Kingdom;INTS 5237;;;LP;1;Black;-;Black;Green;Single;PS;;;White;Black;;;No;;"""International"" is mentioned in the upper right corner of the back cover"
68;David Bowie;Ziggy Stardust the motion picture;RCA;1983;Commercial;Germany;PL 84862(2);-;0 035628 486219;LP;2;Black;-;Silver;Black;Gatefold;PS;Glossy;-;White;Black;D: DT F: F 2 RC 230 UK: 2xDD;White die cut;No;No;No front sticker. no copyright information under the song titles on the labels. GEMA above BIEM in one box
69;David Bowie;Man in the middle / Looking for a friend / Hang on to yourself;Krazy Kat;1985;Commercial;EC;PAST 2;;;MA;1;Black;-;White;Black;Single;AS;;;Red and white;Black;;;No;;Released in Norway?
70;Soundtrack;Love you till Tuesday;Deram;1984;Commercial;United Kingdom;BOWIE 1;820 083-1;42282 00831;LP;1;Black;-;Black and white;Red and white;Single;PS;Glossy;-;Multi;White;No;Company inner bag;No;No;-
71;David Bowie;Tonight;EMI;1984;Commercial;Germany;1C 064 24 0227 1;-;5 099924 022712;LP;1;Black;-;Multi;Grey;Single;PS;Glossy;-;White;Multi;No;Lyrics bag;No;No;"""Printed in Holland"", but GEMA highlighted on label"
72;David Bowie;Aladdin Sane;RCA;1984;Commercial;United Kingdom;BOPIC 1;-;-;LP;1;Picture disc;L.E. 236/20000;No label;No label;Single;AS;;;Multi;Grey and white;;;Certificate;;-
73;David Bowie;Hunky Dory;RCA;1984;Commercial;United Kingdom;BOPIC 2;;;LP;1;Picture disc;L.E. 2746/20000;No label;No label;Single;AS;;;Multi;Grey and white;;;Certificate;;-
74;David Bowie;The rise and fall of Ziggy Stardust and The Spiders from Mars;RCA;1984;Commercial;United Kingdom;BOPIC 3;;;LP;1;Picture disc;L.E. 9397/20000;No label;No label;Single;AS;;;Multi;Grey and white;;;Certificate;;-
75;David Bowie;Pin Ups;RCA;1984;Commercial;United Kingdom;BOPIC 4;-;-;LP;1;Picture disc;L.E. 2951/20000;No label;No label;Single;AS;Matt;Die-cut front;Multi;Grey and white;No;Transparent plastic bag;Certificate;No;-
76;David Bowie;Diamond dogs;RCA;1984;Commercial;United Kingdom;BOPIC 5;-;-;LP;1;Picture disc;L.E. 2308/20000;No label;No label;Single;PS;Matt;Die-cut sleeve;Multi;Grey and white;No;Transparent PVC bag;Certificate;No;-
77;David Bowie;Fame and fashion;RCA;1984;Commercial;Germany;PL84919;-;0 035628 491916;LP;1;Black;-;Silver;Black;Single;PS;Glossy;-;Multi;Black and blue;D: AO F: RC 250 UK: FG;White die cut;No;No;GEMA above BIEM on the label. Silver ring label
78;David Bowie;Blue Jean (Extended Dance Mix) // Dancing With The Big Boys (Extended Dance Mix) / Dancing With The Big Boys (Dub Mix);EMI;1984;Commercial;USA;V 7838-1/2;;;MA;1;Black;-;Multi;Grey;Single;AS;;Sticker;Black, blue and white;Blue and white;;;No;;Vinchester pressing
79;David Bowie;Loving the alien (extended dance mix) / Don't look down / Loving the alien (extended dub mix);EMI;1985;Commercial;United Kingdom;12 EA 195;K 060Z 20 0600 6;-;MA;1;Black;-;Multi;Grey;Gatefold;PS;Glossy;-;Silver and white;Black;No;Plain white;Poster;No;Comes with a large poster
80;David Bowie;Rare tracks;Showcase;1985;Commercial;United Kingdom;SHLP 137;-;5 013428 011379;MILP;1;Black;-;Black and white;Grey;Single;PS;Glossy;-;Black, red and white;Blue;No;Plain white;No;No;"Same as ""Don't be fooled by the name"""
81;David Bowie;The collection;Castle Communications;1985;Commercial;United Kingdom;CCSLP 118;-;5 013428 031186;LP;2;Black;-;Black;White;Gatefold;PS;Satin;-;Brown and white;Brown;No;Plain white;No;No;-
